17:41:29.756 INFO  Running...
17:41:30.666 INFO  News: 'The Cultural Defeat of Microsoft'
17:41:30.805 INFO  News: 'The internet can read. In 2016, it will also learn to see'
17:41:30.943 INFO  News: 'Top Responsive E-Commerce WordPress Themes'
17:41:31.082 INFO  News: 'The top 14 new open source projects'
17:41:31.222 INFO  News: 'How I use Raspberry Pis to help my kids sleep better'
17:41:31.360 INFO  News: '10 Best Ways to Increase Your Mobile App Marketing with Social Media'
17:41:31.499 INFO  News: 'James Neill: An Introduction to Neural Networks with Kdb+'
17:41:31.648 INFO  News: 'Show HN: CodeMill – a marketplace for pull requests'
17:41:31.788 INFO  News: 'Ask HN: Who is most likely to develop true AI?'
17:41:31.926 INFO  News: 'Latest Nvidia Drivers Will Not Damage Your PC Hardware but Still Problematic'
17:41:32.065 INFO  News: 'Former US counter-terrrorism chief says FBI can ask NSA to decrypt iphone'
